Sucursal;Editorial;Tema;Dia;Mes;Anio;NombreTitulo;Precio;Cantidad
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;11;8;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;12;8;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;8;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;300;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;17;8;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;300;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;8;2016;TEST DE MATRICES PROGRESIVAS - ESCALA COLOREADA;600;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;8;2016;TEST DE APERCEPCION INFANTIL CAT - A;580;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;8;2016;TEST DE MATRICES PROGRESIVAS MANUAL;440;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;8;2016;TEST DE APERCEPCION TEMATICA - TAT;740;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;8;2016;EL ARTE DE AMAR;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;26;8;2016;EL ARTE DE AMAR;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;26;8;2016;EL SEMINARIO 3-LAS PSICOSIS;470;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;27;8;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;27;8;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;30;8;2016;DIBUJOS FUERA DEL PAPEL;360;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;2;9;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;2;9;2016;PSICOANALISIS Y LA PIEL EL;315;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;9;9;2016;DICCIONARIO INTRODUCTORIO DE PSICOANALISIS L;272;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;9;2016;DIVINOS DETALLES LOS;244;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;9;2016;CONFERENCIAS PORTEÑAS - TOMO 3;328;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;9;2016;SEMINARIO 5 EL - LAS FORMACIONES DEL INCONSCIENTE;376;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;15;9;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;9;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;9;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;16;9;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;17;9;2016;TEST GUESTALTICO VISOMOTOR - BG BENDER;700;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;17;9;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;530;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;9;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;9;2016;EL SEMINARIO 3-LAS PSICOSIS;470;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;9;2016;SEMINARIOS 17. REVERSO DEL PSICOANALISIS EL;340;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;24;9;2016;TESTS PROYECTIVOS GRAFICOS;500;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;26;9;2016;FREUD Y LA LITERATURA;230;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;10;2016;EL ARTE DE AMAR;240;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;11;10;2016;TEST DE MATRICES PROGRESIVAS ESCALA GENERAL;560;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;12;10;2016;SEMINARIO 5 EL - LAS FORMACIONES DEL INCONSCIENTE;489;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;14;10;2016;FORMACIONES DE LO INCOSCIENTE;110;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;15;10;2016;APEGO EL;432;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;21;10;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;210;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;10;2016;EL SEMINARIO 3-LAS PSICOSIS;490;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;10;2016;TEST DE APERCEPCION INFANTIL CAT - A;620;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;10;2016;TEST GUESTALTICO VISOMOTOR - BG BENDER;740;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;10;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;220;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;22;10;2016;TEST DE ZULLIGER EN LA EVALUACION DE PERSON 3 ED;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;25;10;2016;POR QUE REPETIMOS SIEMPRE LOS MISMOS ERRORES;240;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;25;10;2016;DICCIONARIO DE PSICOANALISIS;525;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;27;10;2016;RETORNO A LACAN;390;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;28;10;2016;TEST DE APERCEPCION TEMATICA - TAT;780;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;28;10;2016;TEST DE RELACIONES OBJETALES - TRO;870;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;29;10;2016;PARTENAIRE-SINTOMA EL;620;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;10;11;2016;SEMINARIO 5 EL - LAS FORMACIONES DEL INCONSCIENTE;490;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;14;11;2016;VIOLENCIAS COTIDIANAS VIOLENCIAS DE GENERO;405;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;19;11;2016;EL ARTE DE AMAR;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;19;11;2016;NIÑO MALTRATADOS - DIAGNOSTICO Y TERAPIA FAMILIAR;360;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;26;11;2016;DICCIONARIO DE PSICOANALISIS;470;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;30;11;2016;TEST GUESTALTICO VISOMOTOR (B.G) BENDER;210;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;2;12;2016;SEMINARIO 8 - LA TRANSFERENCIA -;490;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;2;12;2016;BOCETOS PSICOPATOLOGICOS;279;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;2;12;2016;TRASTORNOS DEL DESARROLLO EN NIÑOS Y ADOLESCENTE;275;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;3;12;2016;TEST GUESTALTICO VISOMOTOR-JUEGO TARJETA;1254;3
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;6;12;2016;TARJETAS BENDER;250;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;9;12;2016;LO QUE LACAN DIJO DE LAS MUJERES;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;14;12;2016;FORMACIONES DE LO INCOSCIENTE;190;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;17;12;2016;ARTE DE AMAR EL;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;20;12;2016;ARTE DE AMAR EL;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;21;12;2016;LO QUE LACAN DIJO DE LAS MUJERES;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;23;12;2016;COMO TRATAR Y ENSEÑAR NIÑO CON PROB.ATENCION H;430;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;26;12;2016;DICCIONARIO DE PSICOANALISIS - 3 TOMOS;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;27;12;2016;LOS PROCESOS DE MADURACION Y EL AMBIENTE FACILITAD;200;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;28;12;2016;TODO LO QUE NECESITA SABER SOBRE PSICOANALISIS;240;1
9 DE JULIO;PAIDOS;PSICOLOGIA GENERAL / PSICOANAL;29;12;2016;DICCIONARIO DE PSICOANALISIS;525;1
9 DE JULIO;PAIDOS;SOCIOLOGIA;23;9;2016;TRAMPAS DE LA CULTURA;160;1
9 DE JULIO;PAIDOS;SOCIOLOGIA;29;10;2016;MUJER DE LA ILUSION LA;335;1
9 DE JULIO;PRENTICE-HALL;CIENCIA Y TECNOLOGIA;13;7;2016;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION;300;1
9 DE JULIO;PRENTICE-HALL;INGENIERIA;22;7;2016;PROBLEMAS DE INGENIERIA DE CONTROL;290;1
9 DE JULIO;PRENTICE-HALL;MECANICA - CAMIONES;23;8;2016;MANUAL DE REPARACION DE CAMIONES...(2 TOMOS);1000;1
9 DE JULIO;PRENTICE-HALL;TRABAJO SOCIAL;14;6;2016;TEORIA E INVESTIGACION DE LA COMUNICACION DE MASAS;310;1
9 DE JULIO;MC GRAW-HILL;DERECHO;8;10;2016;INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRAC;670;1
9 DE JULIO;MC GRAW-HILL;ECONOMIA;8;9;2016;ECONOMIA PRINCIPIOS Y APLICACIONES;1200;1
9 DE JULIO;MC GRAW-HILL;ECONOMIA;9;9;2016;ECONOMIA PRINCIPIOS Y APLICACIONES;1200;1
9 DE JULIO;MC GRAW-HILL;ECONOMIA;12;9;2016;ECONOMIA PRINCIPIOS Y APLICACIONES;1200;1
9 DE JULIO;MC GRAW-HILL;ECONOMIA;8;10;2016;ECONOMIA ELEMENTOS DE MICRO Y MACROECONOMIA;640;1
9 DE JULIO;MC GRAW-HILL;ELECTRONICA;19;9;2016;PRINCIPIO DE ELECTROTECNIA 7MA ED;1650;1
9 DE JULIO;MC GRAW-HILL;GENERALIDADES;25;8;2016;LADO HUMANO DE LAS ORGANIZACIONES;180;1
9 DE JULIO;MC GRAW-HILL;MEDICINA;23;6;2016;QUIMICA 11 ED.;1450;1
9 DE JULIO;MC GRAW-HILL;MEDICINA;15;9;2016;QUIMICA 11 ED.;1450;1
9 DE JULIO;MC GRAW-HILL;MEDICINA;23;12;2016;EDUCACION PARA LA SALUD - 3º ED.-;920;1
9 DE JULIO;MC GRAW-HILL;QUIMICA - BIOQUIMICA;10;6;2016;ANALISIS INSTRUMENTAL - 4 ED.;400;1
9 DE JULIO;THOMSON PARANINFO;ALBAÑILERIACONSTRUCCIONOFICI;15;7;2016;INSTALACIONES HIDROSANITARIAS;200;1
9 DE JULIO;THOMSON PARANINFO;COMPUTACION;1;8;2016;FUNDAMENTOS DE INFORMATICA Y PROGRAMACION EN C;500;1
9 DE JULIO;THOMSON PARANINFO;HOTELERIA Y TURISMO;1;7;2016;TECNICAS ELEMENTALES DE COCINA;300;1
9 DE JULIO;THOMSON PARANINFO;INGENIERIA;6;6;2016;TECNOLOGIA DE LA REFRIGERACION Y AIRE ACONDICIONAD;300;1
9 DE JULIO;THOMSON PARANINFO;INGENIERIA;26;9;2016;INGENIERIA DE BIOPROCESOS;8075;1
9 DE JULIO;THOMSON PARANINFO;MARKETING;5;7;2016;MARKETING AGROPECUARIO;150;1
9 DE JULIO;THOMSON PARANINFO;QUIMICA - BIOQUIMICA;24;11;2016;PROBLEMAS RESUELTOS DE QUIMICA;600;1
9 DE JULIO;VARIOS CUSPIDE;CONTABILIDAD;9;11;2016;MANUAL DE AUDITORIA 5 - INFORME AREA AUDITORIA;320;1
9 DE JULIO;HOMO SAPIENS;COMUNICACION - PERIODISMO;18;8;2016;COMUNICACION ESTRATEGICA;250;1
9 DE JULIO;HOMO SAPIENS;COMUNICACION - PERIODISMO;31;8;2016;COMUNICACION ESTRATEGICA;230;1
9 DE JULIO;HOMO SAPIENS;EDUCACION - DIDACTICA - PEDAGO;25;11;2016;ESCUELA UN PARAISO POSIBLE;250;1
9 DE JULIO;HOMO SAPIENS;EDUCACION - DIDACTICA - PEDAGO;15;12;2016;DIDACTICA DE LA CIENCIAS NATURALES;2295;1
9 DE JULIO;HOMO SAPIENS;EDUCACION - DIDACTICA - PEDAGO;21;12;2016;PRIMERAS HUELLAS;27625;1
9 DE JULIO;HOMO SAPIENS;EDUCACION - DIDACTICA - PEDAGO;22;12;2016;MUSICA LATE EN EL JARDIN LA;153;1
9 DE JULIO;CATEDRA;LINGUISTICA SEMIOTICA ETIMOLOG;17;6;2016;MILAGROS DE NUESTRA SEÑORA;290;1
9 DE JULIO;MARCOMBO;CIENCIA Y TECNOLOGIA;21;12;2016;INSTALACIONES DE ENERGIA SOLAR TERMICA PARA;450;1
9 DE JULIO;OIKOS-TAU;GEOGRAFIA;22;12;2016;ANALISIS GEOGRAFICO EL;29854;1
9 DE JULIO;HISPANO EUROPEA;ZOOLOGIA;15;7;2016;UN CABALLO A PRUEBA DE BOMBAS;100;1
9 DE JULIO;LETRAS HISPANICAS;LITERATURA;17;6;2016;LIBRO DE LA VIDA;200;1
9 DE JULIO;GREDOS;CLASICOS TRAGEDIAS GRECIA ROMA;22;6;2016;HISTORIA IV;150;1
9 DE JULIO;GREDOS;LITERATURA;4;6;2016;OBRAS POLITICAS;100;1
9 DE JULIO;GREDOS;LITERATURA;15;6;2016;QUEREAS Y CALIRROE;150;1
9 DE JULIO;GREDOS;LITERATURA;11;8;2016;FABULAS;200;1
9 DE JULIO;GREDOS;LITERATURA;6;10;2016;TRAGEDIAS;100;1
9 DE JULIO;GREDOS;LITERATURA;6;10;2016;TRAGEDIAS;100;1
9 DE JULIO;GREDOS;LITERATURA;11;10;2016;TRAGEDIAS;100;1
9 DE JULIO;GREDOS;LITERATURA;13;10;2016;TRAGEDIAS;100;1
9 DE JULIO;GREDOS;LITERATURA;14;10;2016;ODISEA;100;1
9 DE JULIO;GREDOS;LITERATURA;19;10;2016;GRAMATICA FUNCIONAL DEL ESPAÑOL;320;1
9 DE JULIO;GREDOS;LITERATURA;19;10;2016;TRAGEDIAS;100;1
9 DE JULIO;GREDOS;LITERATURA;22;10;2016;MEDEA;100;1
9 DE JULIO;GREDOS;LITERATURA;7;11;2016;TRAGEDIAS;150;1
9 DE JULIO;GREDOS;LITERATURA;21;12;2016;TRAGEDIAS - 3 TOMOS;200;1
9 DE JULIO;GREDOS;LITERATURA;21;12;2016;TRAGEDIAS;60;1
9 DE JULIO;GREDOS;NOVELAS;21;12;2016;SATIRICON EL;70;1
9 DE JULIO;SAL TERRAE;AUTOAYUDA;10;8;2016;OPCION - TIERRA LA;180;1
9 DE JULIO;SAL TERRAE;BIOGRAFIAS Y TESTIMONIOS;26;11;2016;ESCRITOS ESENCIALES;120;1
